	business_id	name	address	city	state	latitude	longitude	stars	review_count	is_open
93	tro-hrljuY1cUAVFYauTlQ	"""In-N-Out Burger"""	"""4705 S Maryland Pkwy"""	Las Vegas	NV	36.1041636	-115.13759990000001	4.5	275	1
94	xJ_L2sJN1zk3VDpZELrV_Q	"""Eggspectation"""	"""12 Rue Notre-Dame Est"""	Montréal	QC	45.506542200000005	-73.55538259999999	4.0	83	1
97	hzMhB8ft6ewaxbZnEcy5pw	"""The Casual Pint"""	"""1095 West Queen Creek Rd, Ste 8"""	Chandler	AZ	33.2613947	-111.86138290000001	4.0	68	1
99	9_HgBRUXUg_vKjTT-GSulA	"""Golden Hawaiian BBQ"""	"""1720 W Southern Ave, Ste C3"""	Mesa	AZ	33.393802642800004	-111.868804932	4.0	84	1
100	LTEVTg3qCGnlGaExZMAejw	"""No Bull Burgers"""	"""1019 Kingston Road"""	Toronto	ON	43.6805751	-79.28507009999998	4.0	62	1
101	BG8lvZoPTrPJqcvTh-ytzg	"""The Range Steakhouse"""	"""Harrahs Las Vegas, 3475 S Las Vegas Blvd"""	Las Vegas	NV	36.1183787	-115.17262020000001	4.0	105	0
102	kQ9gVGp5R_jZwLi0-q8PZQ	"""Hey Meatball"""	"""912 Queen Street  E"""	Toronto	ON	43.6606484	-79.3422511	4.0	61	0
103	JKTMgelIQ-VHn7SL5nyiWA	"""Buddha Thai Bistro"""	"""9400 S Eastern Ave, Ste 106B"""	Las Vegas	NV	36.018226299999995	-115.1179256	4.5	86	1
104	HztdZr0Xb8yjDalXPqWXBA	"""Sweeties Candy of Arizona"""	"""1986 N Alma School Rd"""	Chandler	AZ	33.3338385	-111.8592668	4.5	152	1
105	KeQ1cK564cL5C_hBTFrqnA	"""Desi Bar & Grill"""	"""925 Rathburn Road E"""	Mississauga	ON	43.616083200000006	-79.6175759	4.0	62	1
107	3vkP6t_kKN3JT8MMUaBVEA	"""Original Pancake House"""	"""915 Charlottetowne Ave"""	Charlotte	NC	35.2135311	-80.8324573	4.0	226	1
108	ahfAFuFHO9tfFkoBIkVdmg	"""Zabari Mediterranean Grill"""	"""3831 E Thunderbird Rd, Ste 3"""	Phoenix	AZ	33.6113539	-111.99855929999998	4.5	95	1
113	fOKeVUHC7nb6c8G5sILdHQ	"""Tony's Pizza"""	"""9548 Mt Holly Huntersville Rd"""	Huntersville	NC	35.357556	-80.868144	4.5	99	1
114	LpGCzgAKNSpzDNEUMVVtZA	"""Grimaldi's Pizzeria"""	"""7155 S Rainbow Blvd, Ste 125"""	Las Vegas	NV	36.0583338569	-115.243319197	4.0	459	1
115	Ur4eYOFq4qVLHkZJNmcqfQ	"""Prosperity Social Club"""	"""1109 Starkweather Ave"""	Cleveland	OH	41.477068	-81.689789	4.0	182	1
116	iFCz-xI7CV98fcaB4Chh3g	"""The Black Sheep"""	"""8680 W Warm Springs Rd"""	Las Vegas	NV	36.0560801	-115.2808739	4.5	178	1
118	nv2z5SYQR0JlzflUrm00Mw	"""Las Vegas Distillery"""	"""7330 Eastgate Rd, Ste 100"""	Henderson	NV	36.054555	-115.019143	5.0	76	1
119	AyUO53ftWgCU0gcrYMb3cQ	"""Sweet Olenka's"""	"""2790 Lakeshore Boulevard W"""	Etobicoke	ON	43.6020648	-79.5002395	4.5	76	1
122	82YGtjc5KKikNiqBZ33qzw	"""Kyara Japanese Tapas"""	"""6555 S Jones Blvd, Ste 120"""	Las Vegas	NV	36.0698514	-115.2249867	4.0	428	1
123	RSuT0SK4XpsIAZtdP7Lf3w	"""Pedro's Mexican Restaurant"""	"""4938 W Glendale Ave"""	Glendale	AZ	33.5387191	-112.16628670000001	4.0	170	1
126	Rv1IiQaIIDunqzS8dSvHCw	"""Plumeria Thai Cafe"""	"""6710 W Cheyenne Ave"""	Las Vegas	NV	36.2192233223	-115.24270378799999	4.5	218	1
127	irx72bUk68BCHmKN9ZYHCA	"""Dolce Vita Wine Bar"""	"""3205 N Davidson St"""	Charlotte	NC	35.247357	-80.8056579	4.0	53	0
128	RMkBZDwEbcv5Ctd-a2A0Lw	"""Gino's Italian Deli"""	"""4606 Verona Rd"""	Madison	WI	43.0351337	-89.4562756	4.0	62	1
130	ObcMSGc1uotvpnwydoStIg	"""Earl's Grocery"""	"""1609 Elizabeth Ave"""	Charlotte	NC	35.213640999999996	-80.82616800000001	4.5	152	1
131	qtZ50TWkfNS2UtLLuD1m8Q	"""Freddy's Frozen Custard & Steakburgers"""	"""4675 W Charleston Blvd"""	Las Vegas	NV	36.158624200000006	-115.2047571	4.5	113	1
132	c78Pat78fVUBFPXYeVvbaQ	"""Odd Seoul"""	"""90 Ossington Avenue"""	Toronto	ON	43.646190000000004	-79.419686	4.0	223	1
134	V1EdIokE0YYN__dNYfXRdA	"""Pokeman"""	"""3735 Spring Mountain Rd, Ste 206"""	Las Vegas	NV	36.126129999999996	-115.1891408	4.0	171	1
135	29o-qEDIRpXmVmSPNsH4sA	"""Vin Santo"""	"""7462 Hubbard Ave"""	Middleton	WI	43.095605799999994	-89.5108863	4.0	109	1
136	HyzHidtQXC4JIULtSbk3NA	"""Bowl of Greens"""	"""16447 N Scottsdale Rd, Ste 101"""	Scottsdale	AZ	33.635464899999995	-111.92372549999999	4.0	99	1
137	2_8_ipfxCRtpXesLdBCqig	"""Duo Patisserie & Cafe"""	"""230 Commerce Valley Drive E, Unit 4"""	Markham	ON	43.8436699121	-79.37781795859999	4.5	249	1
138	HxWDCU-kKido3ErM31msGQ	"""First Watch - Breakfast, Brunch & Lunch"""	"""16455 N Scottsdale Rd, Ste 107"""	Scottsdale	AZ	33.635340941799996	-111.92254378	4.0	229	1
139	C2T7ecxqsVu99PhSqT3c3g	"""PDQ"""	"""3737 W Craig Rd"""	North Las Vegas	NV	36.2389331706	-115.189941526	4.5	257	1
140	cTJjTKz2huGZ-ElScC2pSw	"""Windsor"""	"""5223 N Central Ave"""	Phoenix	AZ	33.513575	-112.07338100000001	4.0	977	1
141	XLc5WIzafCocqsycQhvEPw	"""Goods & Provisions"""	"""1124 Queen Street E"""	Toronto	ON	43.6623424	-79.3351969	4.0	82	1
143	jPWGcicuwRxciN5WGhz_wQ	"""Simpatico Espresso"""	"""Regional Enterprise Tower, 611 Wm Penn Pl"""	Pittsburgh	PA	40.441373776999995	-79.9966460012	4.5	58	0
144	4KZRFxciaKfTD7qbS55b7g	"""Fabio On Fire"""	"""8275 W Lake Pleasant Pkwy, Ste 101"""	Peoria	AZ	33.670815137199995	-112.240358657	4.5	132	1
145	mDtlBsfTUPDuASvUcKWSbw	"""L&L Hawaiian Barbecue"""	"""6118 W Flamingo Rd"""	Las Vegas	NV	36.11590089999999	-115.22632040000002	4.0	65	1
146	2rLuOMi6Q6zzqUU8ltreSA	"""First Watch - Breakfast, Brunch & Lunch"""	"""111 W University Dr"""	Tempe	AZ	33.4215708	-111.94166829999999	4.5	140	1
147	n5wZxYrle8ROuK-Saq-yyw	"""Luisa's Brick Oven"""	"""1730 Abbey Pl"""	Charlotte	NC	35.170640999999996	-80.84658	4.0	93	1
149	aHRwaqenQHy98AwWjbHvdA	"""Ye Olde Orchard"""	"""1189 Rue de la Montagne"""	Montréal	QC	45.4971935	-73.57355720000001	4.0	54	1
151	Lqp3uwGJU6CHyys-eerMmQ	"""La Tolteca Mexican Foods"""	"""1205 E Van Buren St"""	Phoenix	AZ	33.45107	-112.055957	4.0	153	0
152	T5nTtSCSRoEYMsZPhF61wg	"""Waffles Cafe"""	"""6446 N Durango Dr, Ste 150"""	Las Vegas	NV	36.2779836878	-115.286947773	4.0	270	1
154	cOWXtCz7F9GQhPIks8gm6Q	"""SOLO Trattoria"""	"""2501 E Camelback Rd, Ste 24"""	Phoenix	AZ	33.5084566429	-112.02767165899999	4.5	268	0
155	7m1Oa1VYV98UUuo_6i0EZg	"""Paradise Valley Burger Company"""	"""4001 E Bell Rd"""	Phoenix	AZ	33.639913492199994	-111.995703477	4.5	1019	1
156	nEMUUOvFB2Vi90uiF4rlCg	"""Scooter's Dawghouse"""	"""9600 Blackbrook Rd"""	Mentor	OH	41.724476	-81.294445	4.5	96	1
157	-ltD-dHqdZ5-wjAMKYa6Ng	"""La Bella Managua"""	"""872 Bloor Street W"""	Toronto	ON	43.6622312	-79.42498979999999	4.5	159	1
161	vAuzGR-ufeLu3Y_U5UlO_w	"""Stick E Rice"""	"""2544 E Desert Inn Rd"""	Las Vegas	NV	36.130878499999994	-115.11500249999999	4.0	53	0
162	2alo9GzeOsbg4jeKYFQmxQ	"""Santo's Pizza & Pasta"""	"""7565 Pearl Rd"""	Cleveland	OH	41.3592446	-81.8144522	4.0	61	1
163	beuVp5CZxCdNvQIIPBS2rw	"""Chubby Cattle"""	"""3400 S Jones Blvd, Ste 15"""	Las Vegas	NV	36.1273078	-115.22436119999999	4.5	516	1
166	BNeS_hZfmdQWsqewj-LuDA	"""Ting's Kitchen"""	"""3200 McIntyre Square Dr"""	Pittsburgh	PA	40.5531627166	-80.01551670180001	4.5	52	1
167	krPKgiC0EolDhSHz3kLp6g	"""International Marketplace"""	"""5000 S Decatur Blvd"""	Las Vegas	NV	36.09953529999999	-115.2069423	4.0	255	1
168	Jpyh7MfaNysY3geXjhzqJQ	"""CHAR Pizzeria Napoletana"""	"""25101 N Lake Pleasant Pkwy, Ste 1325"""	Peoria	AZ	33.7115673	-112.27137090000001	4.0	185	1
169	1iZJlc1b6FfRsWa3FHm4lw	"""The Juice Standard"""	"""3708 Las Vegas Blvd S"""	Las Vegas	NV	36.109934499999994	-115.17541570000002	4.0	126	1
170	ZVtjS8Hvq2a6SxHxlehPGg	"""L'Amore Italian Restaurant"""	"""3159 E Lincoln Dr"""	Phoenix	AZ	33.5308313643	-112.013368219	4.5	159	1
171	7qHU_Zh5qEJP3DaaBHqWBg	"""Saigon Lotus"""	"""6 St Andrew Street"""	Toronto	ON	43.6543257	-79.3990234	4.5	82	1
172	npWIa3dIPEV1MTaZNq6AUA	"""Firebirds Wood Fired Grill"""	"""7716 Rea Rd"""	Charlotte	NC	35.062054700000004	-80.815844	4.0	261	1
174	kKNauD7d3HOvumRV7JIAfg	"""Knuckle Sandwich"""	"""969 Coxwell Avenue"""	Toronto	ON	43.6962242	-79.3288728	4.0	68	1
175	10jP6njt3elD90gaHF1FBQ	"""Kilwins"""	"""208 State St"""	Madison	WI	43.074998	-89.38853399999999	4.5	58	1
176	g9i9xFh9HtPWNLMB3ru3ug	"""Campbell's Sweets Factory"""	"""2084 W 25th St"""	Cleveland	OH	41.482953	-81.702793	4.5	62	1
179	lBf_TcBWS7XF-TA4qT8MgQ	"""The Wine Shop"""	"""14142 Rivergate Pkwy"""	Charlotte	NC	35.1023452	-80.9845723	4.0	117	1
181	iKbtAQz2rUu99PgJvcx2Jg	"""Burgatory"""	"""100 Blue Spruce Way"""	Murrysville	PA	40.4278278251	-79.7010137947	4.0	113	1
182	TvDsoVbGEGtXBCaVcICKVA	"""Pub'n Grub"""	"""2815 S Alma School Rd, Ste 101"""	Mesa	AZ	33.3638634	-111.8581176	4.0	63	1
183	Kq2fw7SAKOLOmiJyVCbeFA	"""Preston's Steakhouse"""	"""8700 E Pinnacle Peak Rd, Ste 115"""	Scottsdale	AZ	33.699168	-111.892549	4.0	144	1
186	nHFJtud7jWZhM9dHQ1eIRA	"""Buk Chang Dong Soon Tofu"""	"""691 Bloor Street W"""	Toronto	ON	43.6636232	-79.41698149999999	4.0	381	1
187	GmLkyWb_zYrTEp1SpWxHIA	"""Julia Baker Confections"""	"""Biltmore Fashion Park, 2502 E Camelback, Ste 130"""	Phoenix	AZ	33.5082687981	-112.03171564600001	4.5	71	0
188	uUKkVTCN5_qzNo1YVXMnZA	"""Local Jonny's"""	"""6033 E Cave Creek Rd"""	Cave Creek	AZ	33.8329817862	-111.95048812799999	4.5	165	1
192	nwHd2MbIGz0SNG8GpFjekw	"""Los Taquitos"""	"""7000 N 16th St"""	Phoenix	AZ	33.5395733	-112.04834601399999	4.0	334	1
193	KbLI0QELlAwbfDUVwo43DQ	"""Cajun Yard Dog"""	"""8036 Providence Rd, Ste 900"""	Charlotte	NC	35.0971237982	-80.7805609703	4.0	240	1
194	jxbEwtV8Et1lm8ubk4AGuw	"""Mimosas Gourmet"""	"""3455 S Durango Dr, Ste 114"""	Las Vegas	NV	36.1271903	-115.28001019999999	4.5	205	1
195	Tm2dKN_-DCdZfF2xMWrX7w	"""Siam Cafe"""	"""3951 St Clair Ave NE"""	Cleveland	OH	41.516469	-81.66491309999999	4.0	187	1
196	XIg92ukZJn_1aiNx0OmusQ	"""Restaurant Greenspot"""	"""3041 Notre-Dame Rue O"""	Montréal	QC	45.480889000000005	-73.5787889	4.0	57	1
197	_4noxz6NM0gBeVhZ58Emtg	"""Lamanna's Bakery"""	"""6758 Kingston Road"""	Scarborough	ON	43.79818529999999	-79.1482369	4.0	136	1
198	mnI_n7A8sxgOSmtgI3wzQQ	"""Amazing Cafe"""	"""1506 E Carson St"""	Pittsburgh	PA	40.42867879999999	-79.9831142	4.5	96	0
200	AtSEe-B2mFmLFHBf4PLTrw	"""Wildflower Bread Company"""	"""6428 S Mcclintock Rd, Ste 104"""	Tempe	AZ	33.3624661	-111.91262009999998	4.0	234	1
201	TqBrg3OpIJZo772EOA0I1g	"""Lao Thai"""	"""2200 N Scottsdale Rd"""	Scottsdale	AZ	33.471801	-111.92746399999999	4.0	66	0
202	uCi2ropZuhG4XVcMDaurAw	"""Rachel's Kitchen"""	"""2265 Village Walk Dr"""	Henderson	NV	36.021113	-115.08749499999999	4.0	329	1
203	gtVPsVK83JkeyrN1C1ozeQ	"""Pizza Lotto"""	"""600 E Fremont St"""	Las Vegas	NV	36.1689134331	-115.13848629	4.0	72	0
204	OVb3wbv59wTcd0pQrXBZXw	"""Rayner's Chocolate & Coffee Shop"""	"""14021 N 51st Ave, Ste 106"""	Glendale	AZ	33.6133001	-112.1677843	4.5	203	1
205	j0aiaJkrU-5VgbCsdx-txg	"""Chris Jerk Caribbean Bistro"""	"""2570 Birchmount Road"""	Toronto	ON	43.7903314	-79.302267	4.5	217	1
206	T-KniGykrZ46ZC9plOTspw	"""PHX Burrito House"""	"""4140 N 7th Ave"""	Phoenix	AZ	33.4963856007	-112.083983186	4.5	460	1
208	AnXovUgUHJap3QaDRnjL1w	"""Blueberry Hill Family Restaurant"""	"""3790 E Flamingo Rd"""	Las Vegas	NV	36.1161975	-115.09238799999999	4.0	331	1
209	EuPaczO6rMpDMrn-GtE_eA	"""Tokyo Stop"""	"""1335 W University Dr, Ste 6"""	Tempe	AZ	33.421211199999995	-111.96019869999999	4.0	81	1
210	sz6_gKcHjtcpWKIZLXV85w	"""Or, The Whale"""	"""463 Blvd of the Allies"""	Pittsburgh	PA	40.437298999999996	-79.9984685	4.0	61	1
211	1yBhet37qpki8W0EvOi70g	"""Soma Chocolatemaker"""	"""55 Mill Street, The Distillery, Building 47"""	Toronto	ON	43.650717900000004	-79.3580246	4.5	149	0
212	yZ_wpRr4Svw8YRZ9voCgIw	"""The Vandal"""	"""4306 Butler St"""	Pittsburgh	PA	40.4707671	-79.9599462	4.0	148	1
213	xRrHTt8LcWsGgZ7yQ6YSYQ	"""Ass Clown Brewing Company"""	"""10620 Bailey Rd, Ste E"""	Cornelius	NC	35.4575619	-80.8547775	4.5	87	1
214	nM9NwHXy3EadihjJTG2i5w	"""Pancho's Vegan Tacos"""	"""4865 S Pecos Rd, Ste 5"""	Las Vegas	NV	36.1007774746	-115.10181450299999	4.5	193	1
215	LQFmktF43j2NPncKdNd9mg	"""Fat Heads Saloon"""	"""1805 E Carson St"""	Pittsburgh	PA	40.428966700000004	-79.9801756	4.0	657	1
216	ccMpzq6Bu2Ha4Wbn6TnT7Q	"""WhereUBean Coffee"""	"""4804 E Chandler Blvd, Ste 110"""	Phoenix	AZ	33.3057767	-111.9798844	4.5	145	1
217	FTdEGDDVRrDmVbzHmC91wQ	"""Kneaders Bakery & Cafe"""	"""1150 E Bell Rd"""	Phoenix	AZ	33.6408668108	-112.058558867	4.0	60	1
218	p5rpYtxS5xPQjt3MXYVEwA	"""Greens and Proteins"""	"""8975 S Eastern Ave"""	Las Vegas	NV	36.026231700000004	-115.11925729999999	4.0	635	1
219	-LVpf-mKjrWT51JgCY3gRQ	"""McAlister's Deli"""	"""12847 N Tatum Blvd"""	Phoenix	AZ	33.602801436	-111.97813383299999	4.0	105	0
221	j2w6wlRmlaZaaErQus8ElQ	"""Pita House"""	"""1310 E Silverado Ranch Blvd, Ste 101"""	Las Vegas	NV	36.014087183899996	-115.135131108	4.5	243	1
222	4STzP1q1uM8ONkKookifsw	"""Nan Zhou - Hand Drawn Noodle House"""	"""111 S Dobson Rd"""	Mesa	AZ	33.4125729	-111.8738256	4.0	122	1
223	ufwkkMd9yr9cFU1R5ONArg	"""Huevos Gourmet"""	"""2888 Lake Shore Boulevard W"""	Toronto	ON	43.6012391	-79.50377420000001	4.5	129	1
224	WKlMFUCGI7dCysGkFLWvaQ	"""Stagioni"""	"""2104 E Carson St"""	Pittsburgh	PA	40.4282783	-79.9760041	4.0	108	1
