,business_id,name,address,city,state,latitude,longitude,stars,review_count,is_open,categories
270,nv2z5SYQR0JlzflUrm00Mw,"""Las Vegas Distillery""","""7330 Eastgate Rd, Ste 100""",Henderson,NV,36.054555,-115.019143,5.0,76,1,Food;Tours;Hotels & Travel;Distilleries;Beer;Wine & Spirits
301,IeYEMn2c3tlhtol18n_Log,"""DS Sports Nutrition""","""6969 E Shea Blvd""",Scottsdale,AZ,33.5815336,-111.93069950000002,5.0,37,1,Food;Vitamins & Supplements;Specialty Food;Health Markets;Shopping
303,MXpCVzm1V5OH05KO6n7ntA,"""The Corndog Company LV""","""5720 Centennial Center Blvd""",Las Vegas,NV,36.2657011,-115.25996459999999,5.0,7,1,Food Trucks;Restaurants;Hot Dogs;Food;Street Vendors
304,edT-m7jYpYxnJWmCzlt1sg,"""JP Cool's Bar & Grill""","""14 N Jefferson St""",Mansfield,IL,40.2116835515,-88.50556228549999,5.0,4,1,Food;Nightlife;Restaurants;Beer;Wine & Spirits;Bars;American (Traditional)
312,Dt0riVTe1U46bN7PPoTQBw,"""T By Daniel""","""46 Main Street N""",Brampton,ON,43.6866482,-79.7605628,5.0,42,1,Coffee & Tea;Coffee Roasteries;Tea Rooms;Food
316,1hrX1vHaUgllWH6i876oAw,"""Mariachi Estrellas Del Pacífico""","""""",Phoenix,AZ,33.4499672,-112.07022250000001,5.0,4,1,Arts & Entertainment;Musicians;Restaurants;Performing Arts;Mexican;Event Planning & Services
317,GflVMJ-pZC5IqfJ5ebqvoA,"""The Cupcake Couple""","""""",Glendale,AZ,33.534925300000005,-112.18475090000001,5.0,3,1,Food;Cupcakes
334,k99J9BJuHeUBNOCxV6D97A,"""Noble Coffee""","""1421 Bloor Street W""",Toronto,ON,43.657146264,-79.4478765875,5.0,6,1,Food;Cafes;Coffee & Tea;Restaurants;Sandwiches
349,3U66axr5j1Q86x5zajUHpQ,"""Zio Fedele""","""Ditzinger Str. 13""",Ditzingen,BW,48.8369,9.04047,5.0,8,1,Restaurants;Pizza;Italian;German
366,eoLMgozAsoMelvzwQthB1w,"""Farmyard""","""4056 E Weldon Ave""",Phoenix,AZ,33.490697999999995,-111.992823,5.0,5,1,Farmers Market;Food;CSA
380,O5xFslbI7ZH1sq6zOEJIdg,"""Hinckley Coffee & Donuts""","""1388 Ridge Rd""",Hinckley,OH,41.2386290251,-81.7451423407,5.0,6,1,Coffee & Tea;Bakeries;Donuts;Food
388,y_9Nu0uJ-VgRbGZf_6g49w,"""Waiter's Choice Catering""","""8031 Arrowridge Blvd""",Charlotte,NC,35.134436,-80.908506,5.0,6,1,Caterers;Active Life;Professional Services;Personal Assistants;Party & Event Planning;Restaurants;Event Planning & Services
396,hQVHk7XXF7yYolllQJccLg,"""North Scottsdale Floral""","""10806 N 71st Pl, Ste A""",Scottsdale,AZ,33.584545788,-111.927872077,5.0,25,1,Party Equipment Rentals;Chocolatiers & Shops;Specialty Food;Event Planning & Services;Food;Flowers & Gifts;Florists;Shopping;Flowers
401,liV3Ka7IdUVvPC92wjUrUw,"""Phoenix Wine Parties""","""""",Phoenix,AZ,33.4962205,-111.96417279999999,5.0,3,1,Beer;Wine & Spirits;Tasting Classes;Arts & Entertainment;Wineries;Event Planning & Services;Bars;Wine Tasting Classes;Party & Event Planning;Wine Bars;Food;Nightlife;Education
404,ef28eNdWA3g7OMsnf_fbSA,"""Water Ice Cream & More""","""33 W Baseline Rd""",Tempe,AZ,33.3775849,-111.94033970000001,5.0,5,1,Restaurants;Ice Cream & Frozen Yogurt;Food
461,wht5FaGi7r86WKW7-VX2lQ,"""Today's Market""","""612 Allegheny River Blvd""",Oakmont,PA,40.5194495,-79.8422971,5.0,4,1,Food;Health Markets;Specialty Food
468,mjdRpXM1U8hg7gns3cH2iA,"""Al Wilhelmy Flowers""","""17458 Lorain Ave""",Cleveland,OH,41.451617,-81.81885600000001,5.0,7,1,Event Planning & Services;Florists;Shopping;Fruits & Veggies;Food;Wedding Planning;Floral Designers;Flowers & Gifts;Specialty Food
477,Km7BcCSXb78oymx-Ek2P9w,"""Husongs Cantina""","""3930 Las Vegas Blvd""",Las Vegas,NV,36.086667999999996,-115.17298600000001,5.0,4,1,Mexican;Restaurants
572,Tn1_yYMtMeIprdBD4ouGFA,"""Sullivan & Bleeker Baking""","""142 Martin Ross Ave.""",Toronto,ON,43.7731535,-79.4798624,5.0,6,1,Food;Bakeries;Desserts
601,6Q5XNrz-EXX1tI-3UHR2Pw,"""Le Mitoyen""","""652 Place Publique""",Laval,QC,45.5286465,-73.8204449,5.0,6,1,Restaurants;French
608,8cZytNO5IMaJAmVsg6zjMA,"""Sunlight Snack & Juice""","""8360 Kennedy Road""",Markham,ON,43.85937979999999,-79.3043375,5.0,4,1,Food;Juice Bars & Smoothies
612,yQjjVhYbNfWhjE2QMVVosQ,"""La Barantine""","""202 Bruntsfield Place""",Edinburgh,EDH,55.935962224399994,-3.2098635851,5.0,24,1,Food;Coffee & Tea;Bakeries
614,jdbA0oUH8mGG8aSigNa-5g,"""Shalom Ethopian Restaurant""","""587 Parliament Street""",Toronto,ON,43.6675136,-79.36912,5.0,7,1,Ethiopian;Restaurants
636,B0oPevsWdUron9Pc2slNSw,"""Dining In Personal Chef and Catering""","""""",Gilbert,AZ,33.3528264,-111.789027,5.0,4,1,Personal Chefs;Event Planning & Services;Food
644,_-DzOH5j-PbRrMf_Nm6w-Q,"""Royce'""","""3377 S Las Vegas Blvd""",Las Vegas,NV,36.1218691,-115.1696529,5.0,43,1,Chocolatiers & Shops;Specialty Food;Desserts;Food
648,pHAWyuEiHNQRA-GuYoDDEw,"""What's Fresh?""","""8650 W Peoria Ave, Ste 1038""",Peoria,AZ,33.581443900000004,-112.24525249999999,5.0,18,1,Personal Chefs;Food;Event Planning & Services;Food Trucks;Caterers
654,vWVDTdYE1TFDWsby9klJ2w,"""Ugly Cakes Bakery""","""""",Glendale,AZ,33.5903698,-112.1728283,5.0,16,1,Cupcakes;Desserts;Bakeries;Food;Event Planning & Services;Caterers
668,MOsFhDVav42shCq9-rgejw,"""Potbelly Sandwich Shop""","""2245 Zeier Rd""",Madison,WI,43.129181,-89.3024425,5.0,6,1,Sandwiches;Delis;Fast Food;Restaurants
673,5z5on8hPpFy16-thxyWUgQ,"""Edinburgh Bakehouse""","""101 Newington Street""",Edinburgh,EDH,55.937703000000006,-3.178035,5.0,7,1,Bakeries;Food
684,Da62eopEzU1Rd9rmrIZpIA,"""Les Copains d'Abord""","""3284 4E Avenue""",Rawdon,QC,46.043268,-73.703425,5.0,3,1,French;Restaurants;Local Flavor;Creperies
685,aS4dYQzrJIlWCufeZxdfgQ,"""Tome2""","""42 St-Jacques""",Saint-Jean-Sur-Richelieu,QC,45.3058704253,-73.2516943365,5.0,4,1,Internet Cafes;Food;Books;Mags;Music & Video;Coffee & Tea;Comic Books;Hobby Shops;Shopping
693,6EgcJW7oKA4ApjxQmqpeuA,"""Blair's Custom Cakes""","""N 168th Ave""",Surprise,AZ,33.6312676,-112.4194778,5.0,5,1,Food;Custom Cakes;Bakeries
718,_Wcp-JfSzhjplX0J1Q_5OA,"""Chefs At Your Home""","""2507 E Roma Ave""",Phoenix,AZ,33.500981,-112.02764099999999,5.0,6,1,Gluten-Free;Restaurants;Food;Event Planning & Services;Caterers;Personal Chefs;Food Delivery Services
735,b4rEv7ecvjAmPZAsF5at1A,"""Importation Berchicci Ltee""","""6205 Boulevard Couture""",Saint-Leonard,QC,45.6014021,-73.60470600000001,5.0,4,1,Grocery;Ethnic Food;Specialty Food;Cheese Shops;Imported Food;Food
738,ay2A9QrSXlXILgc0InsbWg,"""Bun King Bakery""","""31 Lapsley Rd""",Scarborough,ON,43.795209899999996,-79.2264998,5.0,5,1,Food;Bakeries
751,fFxxsUakG4WpPa5OY6xU6w,"""Black Chicken Wine Cellar""","""131-1B Matthews Station St""",Matthews,NC,35.1165969,-80.7193683,5.0,24,1,Wine Bars;Beer;Wine & Spirits;Nightlife;Wineries;Bars;Arts & Entertainment;Food
763,sKZAqvOqOPNiI09oZ41FTg,"""General Nutrition Center""","""1726 E Southern Ave""",Tempe,AZ,33.394130600000004,-111.91078030000001,5.0,3,1,Health Markets;Food;Specialty Food
785,50mg2goBcG5rKhWIRTo8ow,"""Nature's Garden Delivered""","""501 N 37th Dr, Ste 103""",Phoenix,AZ,33.4537437,-112.13956540000001,5.0,32,1,Food;Grocery;Fruits & Veggies;Food Delivery Services;Specialty Food
789,sGnfOMRXxrtlBBDOGGirEA,"""Cantuccio""","""Kirchheimer Str. 50""",Stuttgart,BW,48.7455,9.21167,5.0,4,1,Coffee & Tea;Food;Cafes;Restaurants
791,GNmUix03Fjar38DJWz_vsg,"""Kenji Sushi""","""42 St Stephen Street""",Edinburgh,EDH,55.9579125,-3.2066161,5.0,6,1,Japanese;Restaurants;Sushi Bars
799,ZaTbKhLraYurkcT7LrkSOA,"""JBC Coffee Roasters""","""5821 Femrite Dr""",Madison,WI,43.051038,-89.2788932,5.0,14,1,Food;Coffee Roasteries;Coffee & Tea
813,Vlg_nesyZJfX_mpy2fslTQ,"""Le Marquis""","""367 Rue de Castelnau E""",Montréal,QC,45.5388055,-73.617828,5.0,24,1,Gluten-Free;Restaurants;Bakeries;Food
815,UmfpoTxp4QdgQvswf8YxXw,"""El Caprichoso Hot Dogs Estilo Sonora""","""2826 N 35th Ave""",Phoenix,AZ,33.479886,-112.134721,5.0,14,1,Restaurants;Hot Dogs;Street Vendors;Fast Food;Food
828,_Y6At1-0tj1Bu_tNWzticw,"""Les viandes McCormack""","""947 rue de l'Église""",Verdun,QC,45.463194,-73.5756191,5.0,3,1,Butcher;Food;Specialty Food
833,Kh1tvb7vDDp84bxdYyiOEA,"""Pablo's Kitchen""","""5212 Arville St, Ste 4""",Las Vegas,NV,36.1000345566,-115.19840788100001,5.0,6,1,Food Trucks;Restaurants;Event Planning & Services;Mexican;Caterers;Food
860,6Ujaabg3MxqEiCeSs6_eJg,"""Jojos Smokeless World""","""25021 Lorain Rd""",North Olmsted,OH,41.424829200000005,-81.8980547,5.0,8,1,Nightlife;Social Clubs;Vape Shops;Local Flavor;Arts & Entertainment;Yelp Events;Food;Pool Halls;Health & Medical;Coffee & Tea;Traditional Chinese Medicine;Shopping
865,80NTyBDwAtppP3oL84PN7w,"""Bonoful Restaurant""","""13 Brighton Place""",Edinburgh,EDH,55.952071499999995,-3.1155923,5.0,4,1,Bangladeshi;Restaurants;Vegetarian;Indian
874,WRbBmXMHmdWOkeGp21OoeA,"""Mamma Olivia""","""3528 S Maryland Pkwy""",Las Vegas,NV,36.1249276,-115.1354186,5.0,5,1,Restaurants;Italian;Pizza
888,tqumNKvNmeII_DRG6SdRuw,"""Continental Grill House""","""5503 Eglinton Avenue W""",Toronto,ON,43.6530553,-79.6006046,5.0,4,1,Restaurants;Turkish
894,LRnzpnNQWwpN3Bu24W53CA,"""Doc's Artisan Ice Creams""","""1221 W Warner Rd, Ste 105""",Tempe,AZ,33.3340107,-111.9595243,5.0,161,1,Ice Cream & Frozen Yogurt;Gelato;Desserts;Food
903,G0qkCFSRB8aMzTW1O9Q5RA,"""Le Grand Ribfest de Montréal""","""80 Rue de la Commune E""",Montréal,QC,45.5067401,-73.5524029,5.0,7,1,Festivals;Arts & Entertainment;Restaurants;American (Traditional);Barbeque
936,OQ9u8OHGgeNWLW1ipJm3fw,"""Econo Pizza & Wings""","""237 Main Street S""",Newmarket,ON,44.052478,-79.4562535,5.0,3,1,Restaurants;Pizza
937,80LCPTNO0LM_7Vg9nV9B7w,"""La Cloche à Fromage""","""2600 Rue William-Tremblay""",Montréal,QC,45.5432129172,-73.5638851672,5.0,3,1,French;Restaurants;Specialty Food;Cheese Shops;Food
943,rdE0AFMaRAJHqRWVCoNweg,"""Gary's Liquor""","""2131 N 24th St""",Phoenix,AZ,33.4715414,-112.0301196,5.0,5,1,Tobacco Shops;Grocery;Food;Shopping;Beer;Wine & Spirits
989,A4iHqoyX_gzISFX9gec8sg,"""Pour Olive""","""1528 East Blvd""",Charlotte,NC,35.199738,-80.84212099999999,5.0,12,1,Specialty Food;Food
1006,ZmDZTOp6qtR4fUGmVPGGQQ,"""DoughNats""","""5319 Boulevard Décarie""",Montréal,QC,45.4855343,-73.63262440000001,5.0,9,1,Donuts;Food;Bakeries
1011,BzassH8LNyDCLsf_WwgZxA,"""Raspados House""","""606 East Southern Ave""",Phoenix,AZ,33.392461499999996,-112.06539450000001,5.0,4,1,Desserts;Food;Ice Cream & Frozen Yogurt
1058,QMPAOhASYDu4GYx5trTdCg,"""COBS Bread""","""9342 Bathurst Street, Unit 3""",Vaughan,ON,43.848865100000005,-79.46070970000001,5.0,7,1,Vegan;Bakeries;Restaurants;Food;Desserts;Specialty Food
1064,hK3NnMQfL3L6hvbqshKJfQ,"""St Clair Ice Cream Factory Outlet""","""2861 Danforth Avenue""",Toronto,ON,43.689594799999995,-79.2950434,5.0,10,1,Ice Cream & Frozen Yogurt;Food
1079,cB4c3zFoHg8j1pSoENNVYQ,"""Lemar's Pizza""","""95 Holland Street W""",Bradford West Gwillimbury,ON,44.1135324,-79.5682291,5.0,18,1,Restaurants;Pizza;Food;Food Delivery Services
1099,EUskCVPgHoIGl3Ao0VUNLA,"""Fernandez Hot-Dogs""","""1959 E Charleston Blvd""",Las Vegas,NV,36.1589789702,-115.12224310299999,5.0,7,1,Hot Dogs;Restaurants;Food;Food Trucks
1111,ujHyL38EI-OxAyN4_En3wA,"""Lake Erie Creamery""","""3167 Fulton Rd""",Cleveland,OH,41.4681335,-81.70715059999999,5.0,3,1,Cheese Shops;Specialty Food;Food
1117,_MI20v3QRDrCVXgpzje-Ag,"""City Square Deli & Grill""","""22601 N 19th Ave, Ste 121""",Phoenix,AZ,33.6919039,-112.0988342,5.0,83,1,Sandwiches;Restaurants;Burgers;Breakfast & Brunch;Caterers;Event Planning & Services;Salad
1145,YZjqtFlSw4OTbZmvaq91Qg,"""Matteo's Gourmet Food Services""","""1770 W Horizon Ridge Pkwy, Ste 100""",Henderson,NV,36.0107202,-115.0648029,5.0,6,1,Event Planning & Services;Personal Chefs;Caterers;Restaurants;Food
1162,K0_7-QjuNKMqVgLnvI5C1g,"""Chicken Place""","""586 Champagne Drive""",Toronto,ON,43.7645164,-79.4756437,5.0,5,1,Soup;Desserts;Salad;Lebanese;Middle Eastern;Chicken Shop;Restaurants;Food
1173,Q3u6g9t_06TwkKPCo4-uIA,"""Prepd""","""877 Alness""",Toronto,ON,43.779258500000005,-79.4750774,5.0,6,1,Food;Food Delivery Services;Specialty Food;Grocery
1176,BuDVheoOrFYF_EomdcUeWQ,"""Wraps On The Go""","""Cumberland Terrace, 2 Bloor Street W""",Toronto,ON,43.671094599999996,-79.38744559999999,5.0,4,1,Soup;Salad;Food;Sandwiches;Cafes;Coffee & Tea;Event Planning & Services;Restaurants;Caterers
1180,KOCcNf8e7piPPxWa-Rv9oA,"""Délice""","""Hauptstätter Str. 61""",Stuttgart,BW,48.77024,9.176210000000001,5.0,11,1,Nightlife;Restaurants;Wine Bars;French;Modern European;German;Bars
1185,LlLDMhhPeCKs4oyZxFQGaw,"""Zum Adler Gasthaus Weinstube""","""Alte Stuttgarter Str. 2""",Stuttgart,BW,48.7782,9.12474,5.0,3,1,Restaurants
1187,-BQ2I_jy1GcgaA7_XJKXwQ,"""Beta Supermarkt""","""Hedelfinger Str. 55""",Stuttgart,BW,48.7679564,9.248674000000001,5.0,8,1,International Grocery;Grocery;Food
1197,XPdKr_y10JAZ6rQ3-zAxGw,"""Adventurous Stills""","""2125 E 5th St, Ste 102""",Tempe,AZ,33.42528,-111.8951112,5.0,13,1,Food;Wine Tasting Room;Wineries;Distilleries;Arts & Entertainment;Beer;Wine & Spirits;Hotels & Travel;Tours
1204,aN6iNDuc1W1z_1evSKUECA,"""Samara Kitchen""","""13-6033 Shawson Drive""",Mississauga,ON,43.6490393767,-79.6559201181,5.0,5,1,Indonesian;Restaurants
1210,UkQ55TIuiF-XxFK4ylOzBg,"""Mr Eion""","""9 Dean Park Street""",Edinburgh,EDH,55.9589425562,-3.2150308415,5.0,3,1,Coffee & Tea;Food
1224,Zd4ZznYCrMCdEGVzytb-4g,"""McDonald's""","""100 King Street W""",Toronto,ON,43.648636200000006,-79.3817439,5.0,6,1,Fast Food;Burgers;Restaurants
1229,0bjFYstj8USMzEV4ZQldjA,"""Redhawk Coffee""","""120 Meyran Ave""",Pittsburgh,PA,40.440707700000004,-79.9586246,5.0,91,1,Desserts;Restaurants;Food;Breakfast & Brunch;Food Trucks;Coffee & Tea
1235,-e7YfGYIbKhfJhRoz7wRgw,"""Doc Porter's Distillery""","""232 Peterson Dr""",Charlotte,NC,35.1880811859,-80.8798196463,5.0,28,1,Distilleries;Beer;Wine & Spirits;Food
1262,e4IefygVJZ8UO1JtsO7h4g,"""Water Cafe""","""3981 E Sunset Rd""",Las Vegas,NV,36.0707199694,-115.088374766,5.0,5,1,Water Stores;Food
1285,cp7j2eyb9gyUQT2uM1cq6w,"""Alambika""","""1515 Avenue Van Horne""",Montréal,QC,45.5188875,-73.6165978,5.0,3,1,Shopping;Beer;Wine & Spirits;Home & Garden;Kitchen & Bath;Food
1309,x0kNZVWQ-1vxpxFhDdTOAQ,"""Menchie's""","""125 Promenade du Centropolis""",Laval,QC,45.5617107,-73.7461832,5.0,3,1,Ice Cream & Frozen Yogurt;Food
1340,6Myjl5fCmTZRKVntmY0wjw,"""GenussVoll""","""Rathausplatz 5""",Stuttgart,BW,48.7316,9.11008,5.0,3,1,Specialty Food;Herbs & Spices;Food;Coffee & Tea
1346,hG3yiV1pPWlvrHHbcgtQ2Q,"""VOM FASS Oils Vinegars Spirits""","""7135 E Camelback Rd, Ste 145, Scottsdale Waterfront""",Scottsdale,AZ,33.5017723,-111.9281865,5.0,10,1,Food;Herbs & Spices;Specialty Food;Beer;Wine & Spirits
1348,hEB8FaS1EvWds03l7QGXyw,"""Neptunes Waters""","""23425 N 39th Dr, Ste 105""",Glendale,AZ,33.6991851808,-112.14178025700001,5.0,3,1,Ice Cream & Frozen Yogurt;Food;Shaved Ice
1379,X1TjoqNESwtTf-xjqZS6qQ,"""Gourmet South Meat Market""","""2000 Hwy 160 W, Ste 102""",Fort Mill,SC,35.0390914198,-80.9789817408,5.0,6,1,Meat Shops;Specialty Food;Butcher;Seafood Markets;Food
1394,Q3ihaXT-akQN_2SKGhkw1Q,"""Pure Intentions Coffee""","""2215 N Tryon St, Ste A""",Charlotte,NC,35.2451305352,-80.820524999,5.0,6,1,Coffee Roasteries;Food;Coffee & Tea
1397,KZoFzDi6YXUG8kH_LpOw3w,"""JJ Bean""","""197 Bartley Drive""",Toronto,ON,43.720042299999996,-79.3133712,5.0,9,1,Cafes;Coffee & Tea;Coffee Roasteries;Restaurants;Bakeries;Food
1411,jRxLnJ9my31Re_O2MvQGhw,"""The Tasty Bowl Subs N Such""","""2900 Westinghouse Blvd, Ste 116""",Charlotte,NC,35.1328321,-80.9529281,5.0,53,1,Restaurants;Fast Food;Caribbean;Mexican;Thai;Indian;Sandwiches;Italian
1426,SSx8KlC8ydFohTMvjZPsxw,"""Tableside Gourmet""","""7725 E Sheridan St""",Scottsdale,AZ,33.4746708125,-111.91275536799999,5.0,24,1,Caterers;Food;Food Delivery Services;Venues & Event Spaces;Personal Chefs;Event Planning & Services
1468,7rvjZttmZvOdbYhMp1i0qA,"""Masa Casa""","""""",Charlotte,NC,35.2087689,-80.783373,5.0,7,1,Food;Food Trucks
1473,Vbal-AZnu2w6NttIKfdjDg,"""Desert Wind Coffee Roasters""","""7772 W Sahara Ave""",Las Vegas,NV,36.144641,-115.26009099999999,5.0,327,1,Coffee Roasteries;Food;Internet Cafes;Coffee & Tea
1477,ukB1l0o0MfPtE5GoUzJnIg,"""The Garden Cafe""","""600 Penn Ave""",Pittsburgh,PA,40.442648999999996,-80.001427,5.0,6,1,American (Traditional);Restaurants
1498,GhsjizVkrRDiIrYQP88bag,"""Outpost Bar & Grill""","""227 S Main St""",Cottage Grove,WI,43.0755979,-89.1999565,5.0,4,1,Restaurants
1505,0jDvRJS-z9zdMgOUXgr6rA,"""Sunfare""","""811 W Deer Valley Rd""",Phoenix,AZ,33.6834068,-112.0847655,5.0,27,1,Personal Chefs;Food;Gluten-Free;Food Delivery Services;Event Planning & Services;Restaurants
1509,FZ6nk9Fg27KMgt7oiB0DGA,"""Pies by Inge""","""212 W Washington St""",Monticello,IL,40.025702,-88.573161,5.0,4,1,Desserts;Cupcakes;Restaurants;Bakeries;Food
1529,vaUrFqcMImHspV_N3XT2MQ,"""Meital Midler Patisserie""","""""",Vaughan,ON,43.868880600000004,-79.5041322,5.0,3,1,Bakeries;Food;Patisserie/Cake Shop
1533,YGyBLtnEsc9KEgqC4oWngA,"""See's Candies""","""9784 W Northern Ave, Park West Plaza""",Peoria,AZ,33.5532071,-112.26989540000001,5.0,11,1,Candy Stores;Shopping;Chocolatiers & Shops;Food;Gift Shops;Specialty Food;Flowers & Gifts
1537,7V04I3gdlVVis8kVrmWfrw,"""Gouter""","""3507 Bathurst Street""",Toronto,ON,43.7288534,-79.43159870000001,5.0,3,1,Bakeries;Food;Specialty Food;Chocolatiers & Shops;Coffee & Tea;Patisserie/Cake Shop
1545,ahGtKEHYxY3igWrTHh7FVQ,"""Top Marks Cafe""","""7240 E Main St""",Scottsdale,AZ,33.4933556,-111.92490919999999,5.0,83,1,Restaurants;Cafes;Gelato;Food;Coffee & Tea;Ice Cream & Frozen Yogurt;Creperies
1552,4jWZByIPL_S-UFczMuD3yw,"""Sweetest Season""","""1870 E Apache Blvd""",Tempe,AZ,33.4152132,-111.9051392,5.0,27,1,Restaurants;Bakeries;Food;Pretzels;Desserts;Coffee & Tea
1580,8Ixxs2JrvcpaUlpMMX5ldg,"""Downtown Donuts""","""21 Union St N""",Concord,NC,35.4108415365,-80.58162957430001,5.0,13,1,Food;Coffee & Tea;Donuts
1597,PqIutNyDB0bBVrT4hPPRFw,"""Cluck 'N Cup""","""1422 Winnifred St""",Charlotte,NC,35.218158,-80.856726,5.0,4,1,Sandwiches;Coffee & Tea;Restaurants;Food;Desserts
1637,hhfSeb5mi73LHf5vavAwNA,"""Kraving Catering""","""5600 Grapevine Dr, Ste 348""",Charlotte,NC,35.199099600000004,-80.766626,5.0,6,1,Cooking Classes;Custom Cakes;Personal Chefs;Shopping;Event Planning & Services;Party & Event Planning;Food;Caterers;Arts & Crafts
1672,Y7u--YGHNRtB4rdWKmP_NQ,"""Royale's Luncheonette""","""1418 Dundas Street W""",Toronto,ON,43.6496985,-79.429303,5.0,5,1,Soup;Restaurants;Salad;Sandwiches
1697,ARfXk9Sa2vrK36fAGvdmWQ,"""Damas""","""1201 Avenue Van Horne""",Outremont,QC,45.522564100000004,-73.6132118,5.0,128,1,Middle Eastern;Syrian;Restaurants
1698,cQUjVqp8GkfCHWvMoHVzUA,"""Corral West Horse Adventures""","""14401 W Arena Dr""",Goodyear,AZ,33.3703984,-112.3718919,5.0,23,1,Venues & Event Spaces;Restaurants;Event Planning & Services;Active Life;Barbeque;Horseback Riding
